Command,Pay,Player,"Sunday, December 15, 2019 at 2:19:46 PM Australian Eastern Daylight Time","Biataria",10000,money,$,"Biataria",10000,money,$,"world",-588,90,-12,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:22 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1218.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:22 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1154.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:23 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1090.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:23 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,1026.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:23 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,962.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:24 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,898.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:24 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,834.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:25 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,770.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:25 PM Australian Eastern Standard Time","ChupaChupChum",64,money,$,"ChupaChupChum",8,OAK_LOG,,"world",-15,65,-18,706.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:30 PM Australian Eastern Standard Time","ChupaChupChum",50,money,$,"ChupaChupChum",1,IRON_HOE,,"world",-22,64,-41,656.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:31 PM Australian Eastern Standard Time","ChupaChupChum",50,money,$,"ChupaChupChum",1,IRON_HOE,,"world",-22,64,-41,606.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:31 PM Australian Eastern Standard Time","ChupaChupChum",50,money,$,"ChupaChupChum",1,IRON_HOE,,"world",-22,64,-41,556.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:32 PM Australian Eastern Standard Time","ChupaChupChum",65,money,$,"ChupaChupChum",1,IRON_AXE,,"world",-21,65,-41,491.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:33 PM Australian Eastern Standard Time","ChupaChupChum",65,money,$,"ChupaChupChum",1,IRON_AXE,,"world",-21,65,-41,426.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:33 PM Australian Eastern Standard Time","ChupaChupChum",65,money,$,"ChupaChupChum",1,IRON_PICKAXE,,"world",-22,65,-41,361.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:34 PM Australian Eastern Standard Time","ChupaChupChum",40,money,$,"ChupaChupChum",1,IRON_SWORD,,"world",-23,65,-41,321.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:35 PM Australian Eastern Standard Time","ChupaChupChum",25,money,$,"ChupaChupChum",1,IRON_SHOVEL,,"world",-23,64,-41,296.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:35 PM Australian Eastern Standard Time","ChupaChupChum",25,money,$,"ChupaChupChum",1,IRON_SHOVEL,,"world",-23,64,-41,271.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:36 PM Australian Eastern Standard Time","ChupaChupChum",30,money,$,"ChupaChupChum",1,SHEARS,,"world",-21,64,-41,241.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:40 PM Australian Eastern Standard Time","ChupaChupChum",16,money,$,"ChupaChupChum",8,WHEAT,,"world",-31,65,-41,225.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:41 PM Australian Eastern Standard Time","ChupaChupChum",16,money,$,"ChupaChupChum",8,WHEAT,,"world",-31,65,-41,209.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:41 PM Australian Eastern Standard Time","ChupaChupChum",16,money,$,"ChupaChupChum",8,WHEAT,,"world",-31,65,-41,193.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:41 PM Australian Eastern Standard Time","ChupaChupChum",16,money,$,"ChupaChupChum",8,WHEAT,,"world",-31,65,-41,177.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:42 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,145.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:42 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,113.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:42 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,81.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:43 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,49.80709999999998615,
Sign,Buy,Interact,"Sunday, July 10, 2022 at 12:11:43 PM Australian Eastern Standard Time","ChupaChupChum",32,money,$,"ChupaChupChum",8,CARROT,,"world",-30,65,-41,17.80709999999998615,
